,uid,name,game
0,578080,PUBG: BATTLEGROUNDS,27789
1,1623730,Palworld,151665
2,304930,Unturned,7878
3,105600,Terraria,1879
5,291550,Brawlhalla,10233
6,4000,Garry's Mod,3278
7,252490,Rust,3277
8,346110,ARK: Survival Evolved,10239
9,413150,Stardew Valley,17000
10,242760,The Forest,7504
11,238960,Path of Exile,1911
12,899770,Last Epoch,95118
13,945360,Among Us,111469
15,227300,Euro Truck Simulator 2,3070
16,892970,Valheim,104967
17,739630,Phasmophobia,132516
18,227940,Heroes & Generals,7435
19,252950,Rocket League®,11198
20,108600,Project Zomboid,3189
21,648800,Raft,27082
22,322330,Don't Starve Together,17832
23,477160,Human Fall Flat,16992
24,251570,7 Days to Die,5574
25,417910,Street Warriors Online,34067
26,1116170,CyberCorp,120697
27,219990,Grim Dawn,1907
29,221100,DayZ,2117
30,526870,Satisfactory,90558
31,632360,Risk of Rain 2,28512
32,204360,Castle Crashers®,3153
33,322170,Geometry Dash,11642
34,224260,No More Room in Hell,15407
35,275850,No Man's Sky,3225
36,367520,Hollow Knight,14593
37,301520,Robocraft,7871
38,466240,Deceit,24515
39,278360,A Story About My Uncle,7211
40,264710,Subnautica,9254
41,370910,Kathy Rain,18997
42,275390,Guacamelee! Super Turbo Championship Edition,8862
43,250900,The Binding of Isaac: Rebirth,7789
44,700330,SCP: Secret Laboratory,70385
45,219640,Chivalry: Medieval Warfare,2358
46,244210,Assetto Corsa,5597
47,1794680,Vampire Survivors,186725
48,363970,Clicker Heroes,15563
50,1145360,Hades,113112
51,671860,BattleBit Remastered,50531
52,427520,Factorio,7046
53,391540,Undertale,12517
54,646570,Slay the Spire,40477
55,588650,Dead Cells,26855
56,268910,Cuphead,9061
57,1118200,People Playground,122646
58,1049590,Eternal Return,135842
59,233450,Prison Architect,1338
60,223710,Cry of Fear,3084
61,513710,SCUM,31712
62,677620,Splitgate,114684
64,397900,Business Tour - Board Game with Online Multiplayer,34549
65,698780,Doki Doki Literature Club!,55935
66,435150,Divinity: Original Sin 2 - Definitive Edition,11800
67,548430,Deep Rock Galactic,27134
68,294100,RimWorld,9789
69,273110,Counter-Strike Nexon,16957
70,555570,Infestation: The New Z,30537
71,424840,Little Nightmares,9174
72,223470,POSTAL 2,3109
73,346900,AdVenture Capitalist,9591
75,208090,Loadout,3224
76,48700,Mount & Blade: Warband,2025
77,1332010,Stray,110248
